idx,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,uri,valence
304,Headspin,Black Honey,0.00884,0.276,305274,0.408,0.199,2,0.121,-6.888,0,0.0296,105.675,4,spotify:track:6vqiFfqvwW9neplKfn3kCU,0.14
305,I Die,Chrystabell,0.793,0.237,326245,0.265,0.802,5,0.115,-16.451,1,0.0317,161.917,3,spotify:track:4rEcRehktiFSy4t9MiQuU2,0.0693
306,Tell Laura I Love Her,Ray Peterson,0.733,0.517,175360,0.523,0,2,0.2,-7.764,1,0.0386,102.2,3,spotify:track:7JhN1mVlxu5dZzE9QsP0NS,0.263
307,Escape From Berlin,In Mirrors,0.848,0.273,259926,0.25,0.13,10,0.11,-13.296,0,0.0339,77.516,4,spotify:track:6T48BGcwOSiMFWWvypskKx,0.183
308,Blue Spanish Sky,Chris Isaak,0.726,0.272,237800,0.193,0.502,9,0.129,-20.349,0,0.0377,88.601,4,spotify:track:26Q6g0VnJqKixPLGeImX4e,0.0774
309,Fever,The Cramps,0.699,0.674,259040,0.332,0.483,2,0.0982,-11.386,1,0.0377,111.614,4,spotify:track:7w8MExakpbdxhVLos6ccRu,0.444
310,I’m Waiting Here,David Lynch,0.851,0.34,302493,0.457,0.00219,7,0.0813,-10.285,1,0.0439,150.807,3,spotify:track:72lkPIlBC4JkfxGUnfmAsc,0.0526
311,Windswept,Johnny Jewel,0.124,0.175,211844,0.283,0.131,0,0.248,-7.663,1,0.0355,69.974,4,spotify:track:5WvO6j0OY3jGBaelGc0Mzq,0.0376
312,Ultraviolence,Lana Del Rey,0.278,0.144,251480,0.541,1.01e-05,0,0.101,-7.076,1,0.038,79.262,3,spotify:track:1y3r6RXiJZNBV1EI0NggpS,0.0899
313,Slow Dreams,Johnny Jewel,0.205,0.105,189975,0.306,0.0178,10,0.101,-11.111,1,0.0309,196.883,4,spotify:track:46RiPBxF6zT4BILBILf7z6,0.0329
314,In Heaven (Lady in the Radiator Song),David Lynch,0.728,0.16,98214,0.446,0.69,6,0.102,-11.343,1,0.0365,81.524,4,spotify:track:1O9YLtUoxI6GecWg9imdET,0.161
315,Wild,Beach House,0.00485,0.44,298320,0.834,0.00149,2,0.127,-5.337,1,0.0353,94.649,4,spotify:track:3vZ57jnq0IgiKXkuWea37P,0.246
316,Maximum Black,Bohren & Der Club Of Gore,0.845,0.27,458693,0.152,0.977,8,0.108,-20.934,0,0.0417,92.436,1,spotify:track:6RHJvMCoUgQ5CSBFUEL9RI,0.037
317,Motel,Johnny Jewel,0.401,0.187,192324,0.321,0.704,9,0.0914,-13.036,1,0.0326,174.837,4,spotify:track:20YRyCkhI0sWXW2N4hyRKz,0.114
318,All That We See,The Black Ryder,0.0031,0.494,196880,0.556,0.185,9,0.132,-7.97,0,0.027,102.993,4,spotify:track:53XtmjUHiuLbfNsgGud45N,0.752
319,Falling,I Am Snow Angel,0.847,0.384,243472,0.398,0.865,5,0.654,-12.922,1,0.0337,83.974,4,spotify:track:0rru4XPy6kS0qvT6LiFI4k,0.0753
320,Powler,Bohren & Der Club Of Gore,0.788,0.286,303893,0.0974,0.879,9,0.122,-20.716,0,0.0348,175.184,3,spotify:track:6IaG7pmtfDBHRx8gf4UHQo,0.0362
321,Wingbeats Source III: Piano and Wings,Hidden Orchestra,0.932,0.309,156000,0.0725,0.893,9,0.144,-24.446,1,0.0404,86.702,1,spotify:track:1nxNCdh7SLOxFny6EmmzL3,0.0476
322,Dark Night of the Soul (feat. David Lynch),Danger Mouse,0.942,0.322,280507,0.75,0.421,3,0.662,-6.858,1,0.0918,70.501,4,spotify:track:3pfBHp4Q7z1DYNg7Dr40vn,0.293
323,Edie's Dream,SUUNS,0.657,0.68,261187,0.305,0.506,10,0.0915,-10.436,0,0.0306,85.036,4,spotify:track:6P6nrutwlfYlfy9GQyELJu,0.201
324,Rose,Nerv,0.54,0.536,265549,0.344,0.123,9,0.0964,-10.569,0,0.025,105.03,4,spotify:track:2SkqexWWkYWi5D47XSn7Xg,0.187
325,Tears,Chris Isaak,0.71,0.444,167600,0.567,0.667,3,0.218,-14.352,1,0.0303,152.866,4,spotify:track:30Uka9DRC3U8cgfiBDSLFH,0.92
326,Pipopapipo,Dewey Martino,0.927,0.193,216000,0.346,0.953,7,0.3,-16.917,0,0.0401,120.798,3,spotify:track:44yYxVlcLb3lp9EokUElUn,0.0625
327,The Flame,Johnny Jewel,0.813,0.185,199711,0.187,0.161,0,0.0772,-13.831,1,0.0331,139.591,3,spotify:track:7Dtbo0pyLNGiYNso3JO74b,0.0364
328,"Night Time, My Time",Sky Ferreira,0.268,0.425,230880,0.645,0.689,7,0.652,-9.441,0,0.0404,110.059,4,spotify:track:7d3BrpkSkKJpMdOuSnHxtH,0.417
329,La passerelle,Tindersticks,0.916,0.381,257637,0.127,0.436,10,0.12,-24.731,0,0.0518,88.001,4,spotify:track:7GPiUlj4wRrIOMAv8nUc6c,0.134
330,Surrender,Suicide,0.134,0.437,228427,0.521,0.142,6,0.104,-9.69,0,0.0275,74.916,4,spotify:track:4QRO73C82pI3OCHo0njVlS,0.278
331,Chernobyl,Blanck Mass,0.717,0.164,264440,0.363,0.965,0,0.122,-11.586,0,0.043,128.137,5,spotify:track:24eA7NBXJwstgtqEyR1xQl,0.0373
332,Asleep From Day,The Chemical Brothers,0.581,0.516,287227,0.574,0.575,4,0.185,-9.8,1,0.028,136.992,4,spotify:track:4BITFC4lrPVAUfwxYuak7v,0.274
333,Devour,Vallens,0.0229,0.206,359150,0.659,0.698,6,0.126,-6.611,0,0.0408,131.762,4,spotify:track:1ALppEBw3fR0wylnxNGDLB,0.0422
334,Prowler,Bohren & Der Club Of Gore,0.789,0.286,305559,0.0977,0.921,9,0.101,-20.707,0,0.0366,175.766,3,spotify:track:0aXUcEXBdHrekqfitXsN4U,0.0355
335,Hey Moon,John Maus,0.784,0.573,248707,0.639,0.633,0,0.0923,-7.143,1,0.0247,89.575,4,spotify:track:0MpsyFvt1KaxNYBYw2aanq,0.24
336,Suzanne,Hope Sandoval & The Warm Inventions,0.707,0.507,291107,0.276,0.155,7,0.0876,-14.655,1,0.0281,125.111,4,spotify:track:0K9iwmos5IKhO7kK4sQJwl,0.157
337,La Llarona,Kid Congo & the Pink Monkey Birds,0.686,0.672,217053,0.356,0.882,10,0.114,-11.288,1,0.033,118.396,4,spotify:track:7bWTfth2mkRynx1qVorQvA,0.27
338,Mother’s Gone,Trouble,0.629,0.5,260880,0.294,0.906,9,0.0805,-12.503,1,0.0296,69.864,4,spotify:track:1QUNv7oFOr9kAqer7xCbRt,0.0373
339,Ghost of Love,Blue Stahli,0.000541,0.599,174857,0.692,0.423,6,0.315,-6.528,0,0.0258,139.977,4,spotify:track:07k4D28dk9q3vEvm3H1rkI,0.353
340,Unhappiness,Chris Isaak,0.00834,0.617,189267,0.543,0.164,4,0.319,-14.336,1,0.0738,78.456,4,spotify:track:3HSu9xVYLwJSVFK1mKNnLY,0.26
341,The Loom,Bark Psychosis,0.525,0.359,315667,0.304,0.854,4,0.247,-19.211,0,0.0477,167.626,4,spotify:track:5GbOaR6pcywF3y60jnN36Z,0.102
342,Dub Driving,Angelo Badalamenti,0.146,0.58,223213,0.129,0.886,2,0.118,-18.625,1,0.0382,61.24,4,spotify:track:7BokGneRyvlctLz7t63HRU,0.458
343,Karin,Bohren & Der Club Of Gore,0.9,0.555,218317,0.0407,0.919,5,0.103,-21.052,0,0.0353,100.104,4,spotify:track:618WYYt3xcqbakTojjDERw,0.135
344,Chariot,Beach House,0.664,0.374,316507,0.426,0.6,10,0.0886,-7.402,1,0.0315,102.218,4,spotify:track:65Grsl6vx7ZXbvFL6fMr5a,0.0892
345,True Blue,Dirty Beaches,0.888,0.644,171213,0.586,0.957,0,0.0966,-10.311,1,0.0297,106.664,4,spotify:track:1KsPi0McDgRINw6ClJoyUP,0.983
346,Blue Moon,Chromatics,0.262,0.179,249143,0.392,0.0184,10,0.134,-10.394,1,0.0315,67.699,4,spotify:track:0QEG44uAakKJmR6ItRpazZ,0.0383
347,Decency,Balthazar,0.156,0.634,239797,0.397,2.13e-05,4,0.0938,-7.877,0,0.0292,80.009,4,spotify:track:3HpiJvr6cGcm6rQWdmzomj,0.284
348,You Wish You Were Red,Trailer Trash Tracys,0.329,0.555,233733,0.697,0.183,0,0.108,-5.157,1,0.0326,99.988,4,spotify:track:7e3u8iqCiGVPcX91MqZt3q,0.335
349,Nowhere Near,Yo La Tengo,0.832,0.43,363973,0.233,0.845,9,0.099,-15.242,1,0.0288,81.171,4,spotify:track:6zqfL2Io4GGtVTz1Agrow1,0.0848
350,The Human Jungle - Alternate Version,John Barry Seven & Orchestra,0.558,0.421,186867,0.229,0.735,0,0.0817,-13.434,0,0.0273,69.887,4,spotify:track:0YqmHzO2EXkWLj2i33Cuve,0.296
351,Trust in Me,The Dead Brothers,0.444,0.538,225547,0.483,0.0753,10,0.21,-9.487,0,0.0441,81.022,4,spotify:track:4w9KCjUZqZd7WqxzVgUG3K,0.346
352,Drag,Ringo Deathstarr,0.0132,0.499,163743,0.655,0.545,2,0.0997,-7.712,0,0.0374,120.005,4,spotify:track:5Lr0c5OIPM53M5JQUwyxL5,0.829
353,No Problem,Perfume Genius,0.93,0.162,130333,0.378,0.798,1,0.0706,-8.795,0,0.034,80.274,1,spotify:track:40xLMnF2F0dmruFS9Bga1R,0.0385
354,Mysteries of Love,Angelo Badalamenti,0.764,0.181,328146,0.26,0.523,11,0.113,-12.607,1,0.0359,88.568,4,spotify:track:6ddszDHOGF5F9NhBGbrIOl,0.0393
355,Kleiner Finger,Bohren & Der Club Of Gore,0.931,0.409,467659,0.0106,0.732,0,0.113,-22.112,0,0.0492,169.33,3,spotify:track:4oTzhkBpl05dTQxQkplvJm,0.18
356,When The Sun Hits,Slowdive,0.000821,0.322,287467,0.529,0.585,2,0.1,-12.58,1,0.0272,93.68,4,spotify:track:7wE4l1GNxjE2kOmlsx0PcA,0.184
357,When Under Ether,PJ Harvey,0.875,0.33,142400,0.385,0.041,5,0.101,-13.878,0,0.0338,205.079,4,spotify:track:6T74sWvcHvSAO5prlk5dDw,0.331
358,Little Trouble Girl,Sonic Youth,0.525,0.444,267160,0.562,0.111,0,0.114,-8.383,1,0.026,95.126,4,spotify:track:4oguhUGuMDBEKdxhtTXNMy,0.329
359,Harlem Nocturne - Single Version,The Viscounts,0.801,0.357,143387,0.321,0.626,11,0.113,-14.848,1,0.0397,165.689,4,spotify:track:6GROMP4q49fsqQzs8s9mCw,0.47
360,(Headache & Heartbreak) in a Low Place,Silencio,0.521,0.338,236520,0.505,0.726,7,0.0994,-7.133,1,0.0337,176.813,3,spotify:track:5PnzwtGfVnBAl3JIrosU8O,0.119
361,Machines,Promise And The Monster,0.453,0.386,212728,0.535,0.432,6,0.105,-5.599,1,0.0261,95.142,4,spotify:track:1461O8xBHb8RrWfRaHtBjt,0.195
362,Yet to Come,Deaf Center,0.98,0.397,181722,0.0113,0.921,8,0.113,-29.005,0,0.0443,123.652,4,spotify:track:52o0rOFFGNEekY4o0xV0AK,0.0729
363,Blue Light,Mazzy Star,0.837,0.451,310733,0.222,0.63,4,0.0978,-15.508,1,0.0285,138.943,3,spotify:track:3BdHMOIA9B0bN53jbE5nWe,0.179
364,It's Not Enough,Heaven,0.296,0.496,139933,0.549,0.0107,9,0.211,-7.266,0,0.0271,81.994,4,spotify:track:5cRJjVXrFPVnkHTSKK5xTG,0.25
365,War in Heaven,The Raveonettes,0.325,0.498,282453,0.788,0.382,8,0.0982,-3.589,0,0.0391,117.038,4,spotify:track:7G2eNtLvkYkmwm3fGYlgvt,0.256
366,Off You,The Breeders,0.965,0.464,295667,0.102,0.0277,10,0.108,-18.76,1,0.0319,81.165,4,spotify:track:5Yd5o6w2WkicEulQkghKxl,0.0642
367,Procession,Desiderii Marginis,0.798,0.0766,329046,0.286,0.922,4,0.125,-21.555,1,0.0444,175.185,4,spotify:track:6hA9Rttkj87i57AYBi4HvT,0.166
368,No Drums,Tim Hecker,0.879,0.084,204267,0.0747,0.877,9,0.13,-34.012,0,0.0594,172.459,3,spotify:track:04cuyaLUTKspSKLyfcrCc1,0.161
369,"Chez le photographe du motel - Bande originale du film ""Ascenseur pour l'échafaud""",Miles Davis,0.882,0.538,230691,0.0761,0.000749,2,0.0945,-12.029,0,0.0347,62.472,4,spotify:track:7rR1QRYxx4JBaMtAyLrhrq,0.239
370,Sewer Blues,Timber Timbre,0.551,0.769,277933,0.295,0.549,10,0.0984,-9.815,1,0.0339,130.092,4,spotify:track:76szTBgvERdFpde9fhM5KN,0.293
371,Green Onions,Booker T. & the M.G.'s,0.767,0.816,176333,0.514,0.949,10,0.0899,-8.741,1,0.0339,136.837,4,spotify:track:4fQMGlCawbTkH9yPPZ49kP,0.912
372,Toreador del Amor,Tuxedomoon,0.486,0.461,311413,0.2,0.297,0,0.417,-15.306,0,0.0282,93.591,4,spotify:track:0y4SK4bsS9cWrGnGoliFyf,0.159
373,Only in My Dreams,The Marías,0.41,0.518,170893,0.496,0.1,10,0.0999,-11.607,1,0.0292,143.921,4,spotify:track:190IqlryWu91WBKeDgZqZz,0.281
374,Fire,Bad Flamingo,0.669,0.46,228720,0.428,0.00325,9,0.301,-10.51,1,0.154,80.029,4,spotify:track:70VSFe3tTnCLpue9StG69U,0.228
375,Somewhere Tonight,Beach House,0.449,0.14,253936,0.3,0.932,7,0.173,-11.735,1,0.0305,173.875,3,spotify:track:0WMaQ65VN27BxYCutcPqn2,0.087
376,Morning Glory,Leonard Cohen,0.728,0.598,208573,0.209,0.28,0,0.0955,-11.604,1,0.0312,73.026,4,spotify:track:39pHHjdIOmPzSLU6GaAhst,0.0936
377,What You Done,Lera Lynn,0.83,0.724,216307,0.313,0.472,9,0.102,-13.474,1,0.0299,118.586,4,spotify:track:3VtZiWnFeSxaQQwgZ5WJbY,0.214
378,Open the Gates,Bad Flamingo,0.23,0.595,176067,0.361,0.0544,0,0.107,-12.132,0,0.0541,144.963,4,spotify:track:51qTy4m2jabZlw7Qu36anP,0.574
379,Be My Angel,Mazzy Star,0.0305,0.356,197333,0.426,0.00364,9,0.116,-10.857,1,0.0265,165.323,3,spotify:track:3R6kyOmqWcAsqZqqe9CGL0,0.269
380,Disguise,Lucas Kamal,0.0726,0.53,294545,0.587,0.0201,9,0.193,-7.399,1,0.029,110.045,3,spotify:track:57aWW16reEdJjUZZdILPbP,0.344
381,Don't Do Anything (I Wouldn't Do),Angelo Badalamenti,0.898,0.388,441240,0.0929,0.805,6,0.11,-24.138,1,0.0389,138.707,4,spotify:track:3cEFQApTjBswGWDriRXDnx,0.0629
382,The Model,Seu Jorge,0.00166,0.541,188706,0.595,0.0407,2,0.257,-11.114,1,0.0328,124.19,4,spotify:track:5cYlSi1HyeyMP1jySmBi2q,0.596
383,Laughing on the Outside,Bernadette Carroll,0.822,0.384,140453,0.419,0.00152,5,0.267,-9.712,1,0.0426,98.637,3,spotify:track:3DofkfU0559aayAElVjEIr,0.427
384,Greyhound at Night,Dirty Beaches,0.993,0.264,204667,0.471,0.887,1,0.234,-12.263,0,0.0406,66.162,5,spotify:track:1BIHojxRak29LPv2CIDyhY,0.159
